date	latitude	longitude	blh	co_ugm3	no2_ugm3	so2_ugm3	PM25
20220501	5.5	95.0	519.247	1418.357352	3.708667	1.04175	7.36
20220501	5.5	95.75	324.323	2288.203427	6.133361	1.863044	9.81
20220501	5.5	96.5	440.07	1732.682073	4.849974	1.781731	9.49
20220501	5.5	97.25	492.422	1613.09649	5.199317	2.455751	9.38
20220501	5.5	98.0	508.734	1560.53242	4.252216	2.092333	8.48
20220501	5.5	98.75	484.247	1612.785417	3.323814	1.511255	5.9
20220501	5.5	99.5	478.698	1664.408667	3.731499	1.491181	6.3
20220501	5.5	100.25	391.893	2083.108399	6.675863	2.439507	13.33
20220501	5.5	101.0	254.841	3187.336418	9.392739	3.963338	16.55
20220501	5.5	101.75	262.255	3246.55507	7.000774	3.360686	12.4
20220501	5.5	102.5	224.695	3962.574601	7.572536	3.64834	8.81
20220501	5.5	103.25	450.505	2007.056082	3.93226	1.818823	6.32
20220501	5.5	104.0	486.2	1793.309749	3.048122	1.531457	4.56
20220501	5.5	104.75	490.867	1719.902744	2.808135	1.572092	5.04
20220501	5.5	105.5	480.599	1717.998997	3.18428	1.704501	7.23
20220501	5.5	106.25	546.133	1486.52526	3.166712	1.486893	8.64
20220501	5.5	107.0	557.484	1448.472781	3.22585	1.367025	8.11
20220501	5.5	107.75	557.974	1445.385448	2.785875	1.118185	5.37
20220501	5.5	108.5	464.966	1737.506613	2.950459	1.138364	3.31
20220501	5.5	109.25	455.757	1777.036666	3.01625	1.148894	2.36
20220501	5.5	110.0	439.026	1851.950454	3.119829	1.201654	1.89
20220501	5.5	110.75	476.062	1712.520218	2.912432	1.148143	1.64
20220501	5.5	111.5	492.682	1656.587616	2.918779	1.318653	2.67
20220501	5.5	112.25	541.942	1487.61122	2.779067	1.422888	4.72
20220501	5.5	113.0	487.604	1615.047867	3.251618	1.827705	6.54
20220501	5.5	113.75	478.75	1610.411697	3.674028	2.355142	8.42
20220501	5.5	114.5	529.083	1432.330088	3.556952	2.357749	10.17
20220501	5.5	115.25	439.166	1685.822445	4.232937	2.516739	14.06
20220501	5.5	116.0	288.489	2481.887698	6.307416	3.657363	16.08
20220501	5.5	116.75	279.01	2526.92735	5.412308	3.67966	11.42
20220501	5.5	117.5	337.536	2123.6437	3.717411	3.156683	8.77
20220501	5.5	118.25	280.268	2551.730843	4.298393	4.210866	6.12
20220501	5.5	119.0	334.479	2102.406429	3.146682	4.561043	2.64
20220501	5.5	119.75	457.523	1520.331437	2.042763	4.814779	0.79
20220501	5.5	120.5	418.393	1651.019496	2.462374	11.888777	3.02
20220501	5.5	121.25	527.104	1299.040986	1.999516	17.875391	4.93
20220501	5.5	122.0	641.752	1074.150295	1.755736	34.825306	15.1
20220501	5.5	122.75	615.406	1118.48357	1.89912	34.656292	15.26
20220501	5.5	123.5	505.791	1333.358838	2.2835	15.565303	4.12
20220501	5.5	124.25	393.961	1674.050477	2.941641	6.498161	1.57
20220501	5.5	125.0	344.771	1804.105624	3.563995	2.63893	3.26
20220501	5.5	125.75	520.614	1123.736012	2.404728	0.592851	3.69
20220501	5.5	126.5	549.784	1030.04198	2.13663	0.295895	2.71
20220501	5.5	127.25	474.609	1189.104505	2.435247	0.342578	3.03
20220501	5.5	128.0	410.588	1380.896422	2.702078	0.409622	3.72
20220501	5.5	128.75	432.065	1306.92419	2.394346	0.345856	4.91
20220501	5.5	129.5	443.698	1268.736844	2.169618	0.311941	6.4
20220501	5.5	130.25	485.906	1150.66021	1.914229	0.284016	7.56
20220501	5.5	131.0	528.58	1076.475652	1.790584	0.275548	7.13
20220501	5.5	131.75	566.093	1018.952893	1.696491	0.271439	6.65
20220501	5.5	132.5	644.554	910.168582	1.505328	0.275487	5.15
20220501	5.5	133.25	620.807	962.477227	1.577574	0.327729	2.66
20220501	5.5	134.0	574.963	1072.239779	1.780567	0.400372	1.9
20220501	5.5	134.75	550.286	1159.383848	1.952452	0.475656	1.82
20220501	5.5	135.5	524.729	1252.742844	2.068062	0.549915	3.0
20220501	5.5	136.25	505.804	1312.164	2.069436	0.569434	4.11
20220501	5.5	137.0	508.497	1302.10955	2.119065	0.619751	4.42
20220501	5.5	137.75	502.786	1293.794776	2.188323	0.644664	4.44
20220501	5.5	138.5	453.528	1411.505574	2.450455	0.702187	4.05
20220501	5.5	139.25	552.195	1140.806237	1.986367	0.572478	3.65
20220501	5.5	140.0	583.448	1067.428117	1.869742	0.527508	2.99
20220501	5.5	140.75	601.143	1034.741318	1.803458	0.505313	2.56
20220501	4.75	95.0	415.237	1761.212994	3.552362	0.762874	5.51
20220501	4.75	95.75	239.89	3050.181333	6.543978	1.478814	8.16
20220501	4.75	96.5	246.388	2890.206504	7.19046	1.512322	11.0
20220501	4.75	97.25	206.114	3657.97908	10.348574	3.518565	13.11
20220501	4.75	98.0	398.711	2061.146545	5.987151	2.867137	12.64
20220501	4.75	98.75	474.875	1711.733825	4.299999	2.047096	9.67
20220501	4.75	99.5	432.255	1853.174168	3.983676	1.718415	6.19
20220501	4.75	100.25	403.505	2033.928452	6.856641	2.407759	11.66
20220501	4.75	101.0	224.62	3656.097409	13.027838	4.576378	25.72
20220501	4.75	101.75	244.83	3462.27178	8.992554	3.579489	17.22
20220501	4.75	102.5	292.078	3000.691938	5.796674	2.463172	9.36
20220501	4.75	103.25	303.669	2956.416032	6.077614	2.482007	8.31
20220501	4.75	104.0	464.804	1927.220506	3.474204	2.212567	7.29
20220501	4.75	104.75	460.221	1882.766323	3.313867	2.255284	7.48
20220501	4.75	105.5	490.698	1709.053634	3.524255	1.966699	8.56
20220501	4.75	106.25	523.851	1572.061903	3.481131	1.74025	9.85
20220501	4.75	107.0	569.653	1428.470139	2.734085	1.301325	8.57
20220501	4.75	107.75	516.268	1573.226309	2.673883	1.219785	5.7
20220501	4.75	108.5	475.325	1707.056225	2.9014	1.257376	2.81
20220501	4.75	109.25	463.705	1751.74087	2.974195	1.256572	1.8
20220501	4.75	110.0	471.148	1725.07365	2.900515	1.124521	1.53
20220501	4.75	110.75	439.617	1851.789853	3.132556	1.193588	1.22
20220501	4.75	111.5	512.107	1577.619716	2.761222	0.988805	1.04
20220501	4.75	112.25	522.482	1527.345057	2.845903	1.13627	2.67
20220501	4.75	113.0	502.781	1554.202724	3.233989	1.333172	4.9
20220501	4.75	113.75	473.398	1626.804296	3.927097	1.899632	7.58
20220501	4.75	114.5	364.185	2093.619177	6.539382	3.2146	15.27
20220501	4.75	115.25	290.828	2503.765112	7.228314	3.611293	15.11
20220501	4.75	116.0	263.919	2618.85768	6.028982	3.779944	11.0
20220501	4.75	116.75	246.883	2793.707951	5.457763	4.116727	8.91
20220501	4.75	117.5	294.203	2378.801712	4.336948	3.746192	8.14
20220501	4.75	118.25	310.549	2249.288518	3.745718	3.765812	5.27
20220501	4.75	119.0	446.474	1552.785157	2.221116	2.831775	2.11
